stop_id,shading,heat_vulnerability_index,heat_vulnerability_label,tree_canopy_pct,lst_median,shade_coverage,shade_sources
834,Unknown,5.866803,Low Vulnerability,0.539590,97.000000,Unknown,None
836,Unknown,5.866803,Low Vulnerability,0.539590,97.000000,Unknown,None
837,Unknown,7.311105,Moderate Vulnerability,0.248815,101.000000,Unknown,None
838,Unknown,9.516670,Most Vulnerable,0.283450,101.000000,Unknown,None
839,Unknown,9.516670,Most Vulnerable,0.283450,101.000000,Unknown,None
840,Unknown,9.516670,Most Vulnerable,0.283450,101.000000,Unknown,None
841,Unknown,5.822191,Moderate Vulnerability,0.297514,97.000000,Unknown,None
842,Unknown,5.822191,Moderate Vulnerability,0.297514,97.000000,Unknown,None
847,Unknown,5.389677,Low Vulnerability,0.405819,97.000000,Unknown,None
849,Unknown,5.389677,Low Vulnerability,0.405819,97.000000,Unknown,None
851,Unknown,6.849266,Moderate Vulnerability,0.437964,96.000000,Unknown,None
852,Unknown,6.849266,Moderate Vulnerability,0.437964,96.000000,Unknown,None
855,Unknown,8.669335,Elevated Vulnerability,0.379184,98.000000,Unknown,None
857,Unknown,6.265869,Moderate Vulnerability,0.303981,100.000000,Unknown,None
858,Unknown,6.265869,Moderate Vulnerability,0.303981,100.000000,Unknown,None
859,Unknown,6.265869,Moderate Vulnerability,0.303981,100.000000,Unknown,None
862,Unknown,7.842944,Elevated Vulnerability,0.407202,98.000000,Unknown,None
867,Unknown,5.982347,Moderate Vulnerability,0.392756,97.000000,Unknown,None
869,Unknown,5.982347,Moderate Vulnerability,0.392756,97.000000,Unknown,None
874,Unknown,4.940424,Low Vulnerability,0.557042,93.000000,Unknown,None
878,Unknown,6.428424,Moderate Vulnerability,0.429994,97.000000,Unknown,None
879,Unknown,6.428424,Moderate Vulnerability,0.429994,97.000000,Unknown,None
881,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
886,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
887,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
889,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
890,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
893,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
894,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
898,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
899,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
900,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
910,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
913,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
917,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
920,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
921,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
923,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
