stop_id,stop_name,stop_lat,stop_lon,agency,routes,municipality,shading,shade_coverage,shade_sources,review_status,confidence,ridership,priority_score,heat_vulnerability_label,stop_code,nearby_destinations,tree_canopy_pct,heat_vulnerability_index,lst_median
5268,Columbus Dr @ Gomez Av,27.966593,-82.491237,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,5268,,0.202084,7.843105,104.0
3020,Columbus Dr @ Habana Av,27.966777,-82.488907,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3020,,0.21291,7.652022,103.0
3032,Columbus Dr @ Habana Av,27.966662,-82.48916,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3032,,0.202084,7.843105,104.0
3026,Columbus Dr @ Himes Av,27.966579,-82.500817,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Elevated Vulnerability,3026,,0.279801,7.919117,102.0
7221,Columbus Dr @ Himes Av,27.966887,-82.500473,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7221,,0.21291,7.652022,103.0
3035,Columbus Dr @ Howard Av,27.966561,-82.482984,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Elevated Vulnerability,3035,,0.269202,8.085081,103.0
3017,Columbus Dr @ Howard Ave,27.966725,-82.482584,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3017,,0.270628,6.677978,103.0
3024,Columbus Dr @ Lincoln Av,27.966797,-82.497176,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3024,,0.21291,7.652022,103.0
3028,Columbus Dr @ Lincoln Av,27.966581,-82.497445,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Elevated Vulnerability,3028,,0.279801,7.919117,102.0
3022,Columbus Dr @ MacDill Av,27.966812,-82.492872,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3022,,0.21291,7.652022,103.0
3030,Columbus Dr @ MacDill Av,27.966574,-82.493425,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Elevated Vulnerability,3030,,0.279801,7.919117,102.0
3001,Columbus Dr @ Mitchell Av,27.966906,-82.451929,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3001,,0.30543,6.190691,99.0
3011,Columbus Dr @ Myrtle Av,27.966945,-82.46936,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,3011,,0.427993,4.468677,98.0
3010,Columbus Dr @ N Boulevard,27.966968,-82.467466,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3010,,0.32916,7.193392,99.0
7708,Columbus Dr @ N Gomez Av,27.966838,-82.491278,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,7708,,0.21291,7.652022,103.0
3048,Columbus Dr @ Nebraska Av,27.96675,-82.451036,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3048,,0.351953,7.116714,99.0
3008,Columbus Dr @ Ola Av,27.966955,-82.463359,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3008,,0.32916,7.193392,99.0
3042,Columbus Dr @ Ola Av,27.966766,-82.463714,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3042,,0.246505,6.217153,99.0
3013,Columbus Dr @ Ridgewood Av,27.966957,-82.472925,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,3013,,0.427993,4.468677,98.0
3039,Columbus Dr @ Ridgewood Av,27.966827,-82.473243,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3039,,0.246505,6.217153,99.0
3014,Columbus Dr @ Rome Av,27.966664,-82.476875,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3014,,0.270628,6.677978,103.0
3038,Columbus Dr @ Rome Av,27.966509,-82.476757,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3038,,0.351302,7.509013,102.0
3006,Columbus Dr @ Tampa St,27.966928,-82.460741,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3006,,0.32916,7.193392,99.0
3045,Columbus Dr @ Tampa St,27.966776,-82.461051,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3045,,0.246505,6.217153,99.0
3019,Columbus Dr @ Tampania Av,27.966759,-82.486843,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3019,,0.21291,7.652022,103.0
3033,Columbus Dr @ Tampania Av,27.966614,-82.487055,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,3033,,0.202084,7.843105,104.0
4048,Columbus Dr @ Woodrow Av,27.966866,-82.466804,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,4048,,0.246505,6.217153,99.0
7463,Culbreath @ Bloomingdale PnR,27.890744,-82.246657,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7463,,,,
7462,Culbreath Rd @ Bloomingdale Av,27.891532,-82.246828,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Unknown,7462,,,,
2052,Cypress St @ Church Ave,27.952267,-82.507598,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2052,,0.197273,6.543161,102.0
2078,Cypress St @ Church Ave,27.952117,-82.50802,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2078,,0.197273,6.543161,102.0
8126,Cypress St @ Dale Mabry,27.952103,-82.505889,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,8126,,0.197273,6.543161,102.0
2051,Cypress St @ Dale Mabry Hwy,27.952313,-82.506422,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2051,,0.197273,6.543161,102.0
2079,Cypress St @ Dale Mabry Hwy,27.952027,-82.504774,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2079,,0.210831,7.290058,102.0
2045,Cypress St @ Excelda Av,27.952051,-82.490288,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2045,,0.202803,6.331413,101.0
2087,Cypress St @ Excelda Av,27.951912,-82.490307,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2087,,0.202803,6.331413,101.0
8127,Cypress St @ Gramercy Ln,27.952249,-82.503651,Hillsborough Area Regional Transit (HART),,,Limited Shade,Limited Shade,Natural; Incidental,Unlabeled,,,50.0,Moderate Vulnerability,8127,,0.210831,7.290058,102.0
2050,Cypress St @ Himes Ave,27.952205,-82.501292,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2050,,0.210831,7.290058,102.0
2080,Cypress St @ Himes Ave,27.952033,-82.501829,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2080,,0.210831,7.290058,102.0
7720,Cypress St @ Howard Av,27.952151,-82.48326,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,7720,,0.183996,5.810642,102.0
7725,Cypress St @ Howard Av,27.951979,-82.482622,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Low Vulnerability,7725,,0.183996,5.810642,102.0
2056,Cypress St @ Hubert Ave,27.952322,-82.516226,Hillsborough Area Regional Transit (HART),,,Needs Review,Needs Review,,Unlabeled,,,50.0,Moderate Vulnerability,2056,,0.229019,6.461519,101.0
